plot,Lat,Long,area,subsamples,area_m2,Last_fire_y_ago,collection_date,biome,nativeness,warning,delta15N,N_conc_g_kg,P_conc_mg_kg,abund,richness,mold_Eurotiales_Abundance,mold_Mortierellales_Abundance,mold_Mucorales_Abundance,mold_Trichoderma_Abundance,mold_Umbelopsidales_Abundance,
S494,57.63,18.3,Sweden ,40,2500,100,13/11/2015,forest: temperate broadleaf forest biome,,,5.275607467,5.159488527,20.77292806,17890,1815,1.358300727,4.924538849,0.117384013,0.134153158,0.268306316,
S495,58.37,26.56,Estonia ,40,2500,100,22/09/2015,forest: temperate coniferous forest biome,,,1.627768599,5.047129394,56.99846076,528,292,1.325757576,4.734848485,0.378787879,0.568181818,0.378787879,
S496,58.42,26.59,Estonia ,40,2500,100,05/05/2015,forest: temperate coniferous forest biome,,,1.65748086,3.579025681,8.588955224,1015,363,0.985221675,9.261083744,0.098522167,0.39408867,0.78817734,
S497,58.42,26.59,Estonia ,40,2500,100,26/06/2015,forest: temperate coniferous forest biome,,,1.447937563,3.331811649,5.997261524,1899,430,0.84254871,6.319115324,0.052659294,0.895208004,0.052659294,
S498,58.42,26.59,Estonia ,40,2500,100,18/08/2015,forest: temperate coniferous forest biome,,,1.001002378,4.571662921,10.22264407,655,294,0.305343511,4.122137405,0.152671756,0.763358779,0.305343511,
S499,58.42,26.59,Estonia ,40,2500,100,22/09/2015,forest: temperate coniferous forest biome,,,0.780506795,3.864497704,9.934678899,1890,555,0.476190476,4.708994709,0.105820106,0.476190476,0.211640212,
S500,58.55,23.99,Estonia ,40,2500,100,12/07/2015,forest: temperate broadleaf forest biome,,,2.546710204,6.133640199,11.62306438,1479,465,23.73225152,4.259634888,0.135226504,0.405679513,0.811359026,
S501,58.51,24.11,Estonia ,40,2500,100,12/07/2015,forest: temperate broadleaf forest biome,,,2.227553184,8.809063448,13.95325686,2578,752,7.564003103,7.214895268,2.909231963,0.387897595,1.202482545,
S502,58.5,24.11,Estonia ,40,2500,100,12/07/2015,woodland: temperate woodland biome,,,2.455584001,6.854974505,10.83698448,1491,592,2.414486922,9.725016767,0.134138162,0.201207243,0.268276325,
S503,58.49,24.14,Estonia ,40,2500,100,12/07/2015,anthropogenic: village biome,,,2.982652609,8.643622403,24.54434783,1465,648,2.04778157,13.99317406,0.341296928,0.682593857,0,
S504,58.59,24.35,Estonia ,40,2500,100,13/07/2015,forest: temperate broadleaf forest biome,,,0.316021585,6.611189723,8.257129672,1282,476,0.858034321,2.184087363,0,0.15600624,1.092043682,
S505,58.38,24.06,Estonia ,40,2500,100,13/07/2015,forest: temperate broadleaf forest biome,,,-0.752946874,11.43255319,12.55663306,1627,465,1.659496005,4.54824831,0.184388445,0.36877689,11.86232329,
S506,58.4,24.09,Estonia ,40,2500,100,13/07/2015,forest: temperate broadleaf forest biome,,,3.458471995,8.18014071,7.8496,1303,405,0.383729854,17.1143515,0.153491942,0.613967767,0,
S507,58.04,26.46,Estonia ,40,2500,100,05/07/2015,forest: temperate broadleaf forest biome,,,0.31517332,3.733612561,3.885004143,1287,504,1.787101787,2.71950272,0.543900544,0.699300699,1.243201243,
S508,59.08,23.74,Estonia ,40,2500,100,02/08/2015,anthropogenic: village biome,,,5.15423737,13.14416461,231.5160758,1811,589,1.049144119,12.09276643,0.110436223,0.276090558,0,
S509,59,23.48,Estonia ,40,2500,100,02/08/2015,forest: temperate broadleaf forest biome,,,-2.096640465,17.95325507,92.925,729,272,0.137174211,21.67352538,0,0.274348422,2.331961591,
S510,58.13,23.98,Estonia ,40,2500,100,22/08/2015,anthropogenic: village biome,,,1.682699977,4.448945889,16.49847336,1401,470,0.071377587,3.783012134,0.214132762,0.28551035,0.5710207,
S511,58.14,23.99,Estonia ,40,2500,100,22/08/2015,woodland: temperate woodland biome,,,3.95301488,15.15750312,23.36814087,1048,425,6.965648855,7.442748092,0.763358779,0.667938931,0.477099237,
S512,58.13,23.97,Estonia ,40,2500,100,22/08/2015,anthropogenic: village biome,,,4.823399021,15.93919949,51.8987222,1843,522,3.364080304,8.24742268,2.821486706,0.542593597,0.271296799,
S513v,9.56,-83.71,Costa Rica ,40,10000,100,04/07/2013,forest: tropical broadleaf forest biome,,,1.864369148,16.59012005,109.4042657,5812,907,10.94287681,1.875430145,0.946317963,1.376462491,0,
S514v,10.22,-84.6,Costa Rica ,40,10000,100,30/06/2013,forest: tropical broadleaf forest biome,,,2.027686237,10.30818331,1.7636152,2862,283,3.389238295,13.80153739,0.139762404,2.271139064,11.07617051,
S515v,9.86,-82.95,Costa Rica ,40,10000,100,06/07/2013,forest: tropical broadleaf forest biome,,,-2.210944511,0.684010386,18.71306593,4771,920,5.554391113,1.089918256,0.29343953,0.754558793,0,
S516,58.37,26.56,Estonia ,40,2500,100,04/05/2015,forest: temperate coniferous forest biome,,,2.943340303,3.629873814,38.522,1508,324,0.066312997,4.575596817,0.265251989,0.066312997,0.331564987,
S517,58.37,26.56,Estonia ,40,2500,100,25/06/2015,forest: temperate coniferous forest biome,,,3.290661027,3.161993986,34.19578275,3324,424,0.451263538,10.86040915,0.421179302,0.300842359,0.87244284,
S518,58.37,26.56,Estonia ,40,2500,100,18/08/2015,forest: temperate coniferous forest biome,,,2.215093523,4.176720447,39.42008871,1559,528,0.7055805,4.939063502,0.192431046,0.320718409,0.192431046,
S519,43.14,16.53,Croatia ,40,2500,100,23/07/2015,forest: temperate coniferous forest biome,,,-0.182254991,3.960343001,0.885827046,5948,726,3.127101547,1.529926026,0.184936113,0.487558843,1.748486886,
S520,61.21,-138.28,Canada ,40,2500,100,27/06/2015,tundra biome,,,2.74870401,6.194853533,2.20588147,2468,620,0.891410049,5.551053485,0.202593193,0.040518639,0.040518639,
S521,-30.29,115.19,Australia ,40,625,100,26/10/2015,shrubland: subtropical shrubland biome,,,0.520227046,0.340267868,0.140435986,4972,483,16.53258246,0.422365245,0.080450523,1.206757844,0.100563154,
S522,-30.19,115.06,Australia ,40,625,100,26/10/2015,shrubland: subtropical shrubland biome,,,3.925628145,0.476508323,0.261044526,5047,499,13.65167426,0.317020012,0.079255003,0.039627501,0.455716267,
S523,-30.17,115.01,Australia ,40,625,100,25.10.2015,shrubland: subtropical shrubland biome,,,3.405001622,2.987978875,177.812011,5670,805,1.798941799,0.705467372,0,0.017636684,0,
S524,-30.22,115.01,Australia ,40,625,100,25.10.2015,shrubland: subtropical shrubland biome,,,2.824875644,0.193246628,186.3364469,10161,473,4.389331759,0.324771184,0.009841551,0.029524653,0.009841551,
S525,41.76,23.53,Bulgaria ,40,2500,100,11/11/2015,forest: temperate broadleaf forest biome,,,-1.465816331,8.568653799,23.88628054,7842,1418,0.382555471,2.98393267,0.25503698,0.12751849,1.708747768,
S526,41.74,23.53,Bulgaria ,40,2500,100,11/11/2015,forest: temperate coniferous forest biome,,,-1.857529986,11.50840553,41.814338,4385,205,1.049030787,0.843785633,0,1.641961231,0.456100342,
S528,43.05,27.87,Bulgaria ,40,2500,100,27/08/2015,forest: temperate broadleaf forest biome,,,0.056361137,1.631546626,3.897112861,5413,1358,1.681138001,7.740624423,0.351006835,1.884352485,0.461851099,
S529,20.94,-90.37,Mexico ,40,2500,100,07/09/2015,forest: subtropical broadleaf forest biome,,,5.082259695,0.553809484,146.7856229,7886,294,1.052498098,0,0.0507228,0.0380421,0,
S530,20.86,-90.15,Mexico ,40,2500,100,07/09/2015,forest: subtropical broadleaf forest biome,,,2.864168805,9.59651103,0.603994334,3724,942,0.161117078,0.134264232,0.026852846,3.651987111,0,
S531,19.96,-89.17,Mexico ,40,2500,100,08/09/2015,forest: tropical broadleaf forest biome,,,1.40808441,24.68810893,40.17108251,4210,766,0.380047506,0.570071259,0.190023753,1.187648456,0.071258907,
