Country,LONG,LAT,Point_ID,NUTS_1,NUTS_2,NUTS_3,P,N,K,CaCO3,pH_CaCl2,pH_H20,EC,OC,Land Cover,Land Description,Land Use,Revisited_point,Soil_Stones
Sweden,14.132346757,56.733402779,45743744,SE2,SE21,SE212,85.2,13.1,119.7,0,3.5,4.22,64.5,259.7,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,2
Sweden,16.429100742,58.300355667,46983928,SE1,SE12,SE123,67.2,16.6,101.0,1,3.3,3.7,61.2,463.3,Woodland,Other mixed woodland,FORESTRY,Yes,1
Sweden,21.424319229,64.423282919,48724636,SE3,SE33,SE331,139.5,24.3,144.8,0,3.3,4.29,90.0,430.0,Woodland,Broadleaved woodland,FORESTRY,Yes,1
Sweden,14.560703422,56.484963457,46023718,SE2,SE21,SE212,29.2,3.7,86.9,0,3.0,3.76,11.26,99.4,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,3
Sweden,14.354344292,56.67214031,45883738,SE2,SE21,SE212,13.7,2.1,75.9,1,4.0,4.48,7.45,52.4,Woodland,Broadleaved woodland,FORESTRY,Yes,4
Sweden,13.752519547,56.528917382,45523720,SE2,SE21,SE212,8.2,1.0,39.4,0,3.2,4.23,4.65,24.5,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,3
Sweden,13.749019563,56.493021293,45523716,SE2,SE21,SE212,45.6,15.6,144.0,1,3.3,4.1,54.6,338.2,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,13.491385033,56.518221604,45363718,SE2,SE21,SE212,58.7,8.0,80.1,0,3.3,3.74,37.6,243.4,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,13.696285011,56.620525871,45483730,SE2,SE21,SE212,16.9,3.1,32.8,1,3.9,4.37,14.21,66.4,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,16.271192976,57.9829287,46923892,SE2,SE21,SE213,49.5,6.1,122.1,1,3.2,4.39,19.19,134.3,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,23.166903334,66.752239104,49024904,SE3,SE33,SE332,59.8,36.7,104.0,0,3.2,3.81,12.16,492.8,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,23.633309648,67.435283704,49064982,SE3,SE33,SE332,39.8,27.0,106.6,0,4.0,4.26,91.7,462.2,Woodland,Broadleaved woodland,FORESTRY,Yes,1
Sweden,20.846911281,66.896629721,47984902,SE3,SE33,SE332,7.4,1.0,20.9,0,4.4,5.07,2.63,19.5,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,21.407062233,66.915364513,48224908,SE3,SE33,SE332,29.6,1.0,17.3,0,3.8,4.51,3.01,23.4,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,22.033077968,66.780780826,48524898,SE3,SE33,SE332,70.3,11.5,449.1,0,3.3,4.02,47.6,495.3,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,22.261394905,67.058652081,48564930,SE3,SE33,SE332,54.7,26.1,154.8,0,3.7,4.19,21.7,469.7,Woodland,Broadleaved woodland,FORESTRY,Yes,1
Sweden,23.804104181,66.572545483,49344890,SE3,SE33,SE332,35.7,28.0,48.6,0,3.6,4.32,95.9,426.0,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,1
Sweden,12.456931534,59.114926634,44624004,SE2,SE23,SE232,79.2,16.4,159.3,0,2.8,3.88,46.5,514.1,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,23.104119768,66.720240505,49004900,SE3,SE33,SE332,17.4,1.8,16.9,0,4.2,4.83,3.61,34.3,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,12.218849111,59.208963799,44484014,SE2,SE23,SE232,37.4,2.3,88.0,0,3.7,4.68,8.59,47.2,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,4
Sweden,23.585993937,67.014465195,49144936,SE3,SE33,SE332,33.6,6.0,50.2,0,3.9,4.4,31.2,85.9,Woodland,Other mixed woodland,FORESTRY,Yes,1
Sweden,23.61103283,66.975578316,49164932,SE3,SE33,SE332,67.3,4.7,112.3,0,3.7,4.28,45.4,119.0,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,23.001252363,66.875453447,48924916,SE3,SE33,SE332,54.1,11.7,530.8,0,3.3,4.12,16.13,493.8,Woodland,Pine dominated coniferous woodland,"Amenities, museum, leisure (e.g. parks, botanical gardens)",Yes,1
Sweden,22.781457013,67.076090763,48784936,SE3,SE33,SE332,113.5,15.3,836.3,0,3.4,4.11,34.0,495.2,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use,Yes,1
