Country,LONG,LAT,Point_ID,PTotal
Portugal,-9.361439999756158,38.929619999563386,26521974,126.21
Portugal,-9.290500000074871,38.851390000048525,26561964,367.16
Portugal,-8.775250000187327,37.13911000012644,26581768,1419.24
Portugal,-8.833720000377696,37.34975000026236,26581792,245.45
Portugal,-9.242100000214805,38.76853999972127,26581954,349.92
Portugal,-8.792249999937496,37.28397000021539,26601784,188.04
Portugal,-9.282250000037436,38.982830000004526,26601978,345.26
Portugal,-9.249359999564264,38.9524500001674,26621974,148.17
Portugal,-8.672899999934998,37.270900000035,26701780,295.08
Portugal,-9.264399999760144,39.32008000039178,26702014,352.95
Portugal,-8.711699999555265,37.57817000014546,26741814,215.08
Portugal,-9.088849999927504,38.8921900001684,26741964,399.28
Portugal,-9.145969999915508,39.08452000039773,26741986,361.47
Portugal,-8.578210000391152,37.17864999969777,26761768,1099.98
Portugal,-8.621609999901523,37.336769999735736,26761786,363.3
Portugal,-8.665300000194804,37.49480000011994,26761804,291.09
Portugal,-8.812979999926995,38.021099999665296,26761864,11.38
Portugal,-9.154799999720185,39.19392000020787,26761998,29.33
Portugal,-9.165280000071904,39.22889000037327,26762002,341.57
Portugal,-8.67254000042061,37.60452000029784,26781816,95.34
Portugal,-9.188499999775104,39.46509000020342,26802028,296.55
Portugal,-8.702009999661698,37.87653000035931,26821846,613.65
Portugal,-8.776369999675694,38.139589999578845,26821876,241.47
Portugal,-8.466709999966497,37.10822999971475,26841758,232.95
Portugal,-8.481030000234284,37.160970000065504,26841764,92.88
Portugal,-8.630849999727673,37.70546000027883,26841826,1209.15
Portugal,-8.655329999979472,37.79322000040276,26841836,224.52
Portugal,-8.925550000232306,38.739650000247366,26841944,892.92
Portugal,-9.143299999994952,39.47414999982272,26842028,272.93
Portugal,-8.865560000093865,38.69604999960785,26881938,974.03
Portugal,-8.99377999994698,39.13356000009401,26881988,727.04
Portugal,-8.601249999887557,37.93361999986314,26921850,414.1
Portugal,-8.660430000444137,38.1441300002993,26921874,314.9
Portugal,-8.715139999911003,38.3370099998117,26921896,619.89
Portugal,-8.46724999968768,37.53416999994562,26941804,533.31
Portugal,-8.481739999701176,37.5868500002274,26941810,418.22
Portugal,-8.91597000001542,39.11201999962333,26941984,207.39
Portugal,-8.998909999996442,39.39186000013893,26942016,144.88
Portugal,-8.51789999988506,37.80193999963132,26961834,320.17
Portugal,-8.8780600000689,39.06398999973874,26961978,269.31
Portugal,-8.924420000282737,39.22144999991764,26961996,52.16
Portugal,-8.98154000027074,39.41382000019291,26962018,139.81
Portugal,-8.502919999758149,37.91602000032282,27001846,1156.3
Portugal,-8.547000000049934,38.07396999971576,27001864,393.13
Portugal,-8.591379999787137,38.231859999939104,27001882,459.38
Portugal,-8.621119999788107,38.33710000036479,27001894,182.92
Portugal,-8.726280000121847,38.70517000019538,27001936,265.43
Portugal,-8.988569999805577,39.59762000006299,27002038,266.75
Portugal,-8.70896000000397,38.72709999976525,27021938,52.6
Portugal,-8.90854999958276,39.40978000004702,27022016,313.6
Portugal,-8.44405000000745,37.87206000016892,27041840,382.57
Portugal,-8.532140000060906,38.187999999900114,27041876,128.83
Portugal,-8.225779999647216,37.15573999990113,27061758,247.35
Portugal,-8.539489999963507,38.29763000042425,27061888,304.4
Portugal,-8.745200000279738,39.016189999668825,27061970,404.23
Portugal,-8.904949999942517,39.5586200002129,27062032,30.69
Portugal,-8.370759999874053,37.77535999966432,27081828,439.11
Portugal,-8.96084509002884,39.82530593821855,27082062,299.27
Portugal,-8.186630000074388,37.18190000028483,27101760,593.07
Portugal,-8.314990000088414,37.65667999998209,27101814,281.03
Portugal,-8.504860000188785,38.34145000041724,27101892,235.25
Portugal,-8.624440000005961,38.76225999969927,27101940,173.92
Portugal,-8.685040000395645,38.97252999985966,27101964,314.24
Portugal,-8.901391332244145,39.7074375775822,27102048,30.7
Portugal,-8.1553599996642,37.150990000288346,27121756,441.27
Portugal,-8.637280000371675,38.88932000001802,27121954,439.86
Portugal,-8.728729999789607,39.20455999984415,27121990,528.45
Portugal,-8.795570000155351,39.432070000030535,27122016,268.18
Portugal,-8.318919999658192,37.84101999957335,27141834,119.63
Portugal,-8.539639999686187,38.63081000018144,27141924,322.76
Portugal,-8.243990000338215,37.65202999958484,27161812,487.25
Portugal,-8.552219999753163,38.75792000010796,27161938,156.57
Portugal,-8.597450000017432,38.91565000014742,27161956,85.48
Portugal,-8.781329999979448,39.54594000003101,27162028,528.53
Portugal,-8.303629999624718,37.95506000021891,27181846,914.65
Portugal,-8.46512999994951,38.53434000039079,27181912,267.29
Portugal,-8.61538999994849,39.06020999989164,27181972,311.91
Portugal,-8.707159999734131,39.37538000008698,27182008,3.16
Portugal,-8.10516999999544,37.30883000000455,27201772,387.21
Portugal,-8.567649999947491,38.97700999961182,27201962,96.23
Portugal,-8.61315000007238,39.1346599995594,27201980,424.4
Portugal,-8.679449999817564,39.36230999990664,27202006,398.8
Portugal,-8.772299999945005,39.67727000031033,27202042,541.38
Portugal,-8.031750000162333,37.11947999960233,27221750,199.91
Portugal,-8.15877000043514,37.59457000010548,27221804,224.07
Portugal,-8.201679999832095,37.75281000028133,27221822,536.49
Portugal,-8.288339999591244,38.06909999996509,27221858,128.82
Portugal,-8.028490000013448,37.19415000042221,27241758,408.89
Portugal,-8.165260000248793,37.70435999991412,27241816,231.72
Portugal,-8.339129999949478,38.336809999581874,27241888,783.07
Portugal,-8.408020000422653,38.58247999995211,27241916,284.78
Portugal,-8.427819999793087,38.652639999636335,27241924,463.53
